Song Titles,Artist,Year
Angel,Akon,2010
Stutter,Maroon 5,2010
Shake,Jesse McCartney,2010
Loving You No More,Diddy - Dirty Money Featuring Drake,2010
Please Don't Go,Mike Posner,2010
Toxic,Glee Cast,2010
Gonorrhea,Lil Wayne Featuring Drake,2010
The Only Exception,Glee Cast,2010
What's Wrong With Them,Lil Wayne Featuring Nicki Minaj,2010
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2010
I'm A Slave 4 U,Glee Cast,2010
Stronger,Glee Cast,2010
Baby One More Time,Glee Cast,2010
Me Against The Music,Glee Cast,2010
I Am Not A Human Being,Lil Wayne,2010
Right Thru Me,Nicki Minaj,2010
Bill Gates,Lil Wayne,2010
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,2010
Grenade,Bruno Mars,2010
Mama's Song,Carrie Underwood,2010
Hope She Cheats On You (With A Basketball Player),Marsha Ambrosius,2010
Speak Now,Taylor Swift,2010
Runaway,Kanye West Featuring Pusha T,2010
I Want To Hold Your Hand,Glee Cast,2010
One Of Us,Glee Cast,2010
Only The Good Die Young,Glee Cast,2010
Raise Your Glass,P!nk,2010
Losing My Religion,Glee Cast,2010
Papa Can You Hear Me?,Glee Cast,2010
Bridge Over Troubled Water,Glee Cast,2010
I Look To You,Glee Cast,2010
The Lazy Song,Bruno Mars,2010
Like We Used To,A Rocket To The Moon,2010
Stereo Love,Edward Maya & Vika Jigulina,2010
Memories,David Guetta Featuring Kid Cudi,2010
Loca,Shakira Featuring El Cata or Dizzee Rascal,2010
Back To December,Taylor Swift,2010
Lucky,Glee Cast,2010
"River Deep, Mountain High",Glee Cast,2010
Happy Days Are Here Again / Get Happy,Glee Cast,2010
Don't Go Breaking My Heart,Glee Cast,2010
Move That Body,Nelly Featuring T-Pain & Akon,2010
Little Miss,Sugarland,2010
This,Darius Rucker,2010
Sing!,Glee Cast,2010
Le Jazz Hot,Glee Cast,2010
This Ain't No Love Song,Trace Adkins,2010
Mean,Taylor Swift,2010
Firework,Katy Perry,2010
Gonna Get This,Hannah Montana Featuring Iyaz,2010
Whip My Hair,WILLOW,2010
Monster,"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",2010
The End,Kings Of Leon,2010
What's My Name?,Rihanna Featuring Drake,2010
Rap Song,T-Pain Featuring Rick Ross,2010
Porn Star Dancing,My Darkest Days Featuring Zakk Wylde,2010
Lay It Down,Lloyd,2010
Tighten Up,The Black Keys,2010
Strip Me,Natasha Bedingfield,2010
We R Who We R,Ke$ha,2010
Sparks Fly,Taylor Swift,2010
Innocent,Taylor Swift,2010
Yeah 3X,Chris Brown,2010
The Story Of Us,Taylor Swift,2010
Dear John,Taylor Swift,2010
Better Than Revenge,Taylor Swift,2010
Haunted,Taylor Swift,2010
Last Kiss,Taylor Swift,2010
I Won't Let Go,Rascal Flatts,2010
Enchanted,Taylor Swift,2010
Mr. Rager,Kid Cudi,2010
Never Grow Up,Taylor Swift,2010
Long Live,Taylor Swift,2010
Time Warp,Glee Cast,2010
One In A Million,Ne-Yo,2010
Someone Else Calling You Baby,Luke Bryan,2010
Felt Good On My Lips,Tim McGraw,2010
Sleazy Remix 2.0 Get Sleazier,"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",2010
Roman's Revenge,Nicki Minaj Featuring Eminem,2010
"Bon, Bon",Pitbull,2010
Somewhere With You,Kenny Chesney,2010
Get Back Up,T.I. Featuring Chris Brown,2010
Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez,2010
Sick,New Hollow,2010
Voices,Chris Young,2010
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2010
Bullets In The Gun,Toby Keith,2010
The Big Bang,ROCKMAFIA,2010
Who Are You When I'm Not Looking,Blake Shelton,2010
Teenage Dream,Glee Cast,2010
The Time (Dirty Bit),The Black Eyed Peas,2010
Start Me Up / Livin' On A Prayer,Glee Cast,2010
Stop! In The Name Of Love / Free Your Mind,Glee Cast,2010
One Love (People Get Ready),Glee Cast,2010
Marijuana,Kid Cudi,2010
The Show Goes On,Lupe Fiasco,2010
Down On Me,Jeremih Featuring 50 Cent,2010
Hello World,Lady Antebellum,2010
What If,Jason Derulo,2010
Cannibal,Ke$ha,2010
Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo,2010
Make A Movie,Twista Featuring Chris Brown,2010
Forget You,Glee Cast Featuring Gwyneth Paltrow,2010
Singing In The Rain / Umbrella,Glee Cast Featuring Gwyneth Paltrow,2010
Kush,Dr. Dre Featuring Snoop Dogg & Akon,2010
S&M,Rihanna Featuring Britney Spears,2010
Liv Tonight,Nelly Featuring Keri Hilson,2010
Hold My Hand,Michael Jackson Duet With Akon,2010
Marry Me,Train,2010
Blow,Ke$ha,2010
Turn Around (5 4 3 2 1),Flo Rida,2010
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2010
Marry You,Glee Cast,2010
Just The Way You Are,Glee Cast,2010
Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver",2010
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2010
Show Me How You Burlesque,Christina Aguilera,2010
Pretty Girl Rock,Keri Hilson,2010
Who's That Chick?,David Guetta Featuring Rihanna,2010
Fly,Nicki Minaj Featuring Rihanna,2010
Marry You,Bruno Mars,2010
All Of The Lights,Kanye West,2010
Crazy Beautiful Life,Ke$ha,2010
Let Me Down Easy,Billy Currington,2010
Maybe,Sick Puppies,2010
Dog Days Are Over,Glee Cast,2010
Christmas Lights,Coldplay,2010
"Hey, Soul Sister",Glee Cast,2010
(I've Had) The Time Of My Life,Glee Cast,2010
Valerie,Glee Cast,2010
Who Dat Girl,Flo Rida Featuring Akon,2010
Freak The Freak Out,Victorious Cast Featuring Victoria Justice,2010
Boots,The Killers,2010
Fire Flame,Birdman Featuring Lil Wayne,2010
Rocketeer,Far*East Movement Featuring Ryan Tedder,2010
Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,2010
That's All She Wrote,T.I. Featuring Eminem,2010
"Baby, It's Cold Outside",Glee Cast,2010
Welcome Christmas,Glee Cast,2010
Rolling In The Deep,Adele,2010
No BS,Chris Brown,2010
Bass Down Low,Dev Featuring The Cataracs,2010
Fall For Your Type,Jamie Foxx Featuring Drake,2010
Firework,Katy Perry,2011
Grenade,Bruno Mars,2011
What's My Name?,Rihanna Featuring Drake,2011
Raise Your Glass,P!nk,2011
We R Who We R,Ke$ha,2011
Just The Way You Are,Bruno Mars,2011
Only Girl (In The World),Rihanna,2011
The Time (Dirty Bit),The Black Eyed Peas,2011
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,2011
Just A Dream,Nelly,2011
Bottoms Up,Trey Songz Featuring Nicki Minaj,2011
Black And Yellow,Wiz Khalifa,2011
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011
Like A G6,Far*East Movement Featuring Cataracs & Dev,2011
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2011
Stereo Love,Edward Maya & Vika Jigulina,2011
Dynamite,Taio Cruz,2011
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2011
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,2011
Yeah 3X,Chris Brown,2011
Please Don't Go,Mike Posner,2011
Teenage Dream,Katy Perry,2011
Animal,Neon Trees,2011
F**k You! (Forget You),CeeLo Green,2011
Secrets,OneRepublic,2011
Back To December,Taylor Swift,2011
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011
Right Above It,Lil Wayne Featuring Drake,2011
Right Thru Me,Nicki Minaj,2011
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,2011
That's All She Wrote,T.I. Featuring Eminem,2011
Club Can't Handle Me,Flo Rida Featuring David Guetta,2011
I Like It,Enrique Iglesias Featuring Pitbull,2011
If I Die Young,The Band Perry,2011
Whip My Hair,WILLOW,2011
Somewhere With You,Kenny Chesney,2011
No Love,Eminem Featuring Lil Wayne,2011
Deuces,Chris Brown Featuring Tyga & Kevin McCall,2011
Hold My Hand,Michael Jackson Duet With Akon,2011
Felt Good On My Lips,Tim McGraw,2011
Rocketeer,Far*East Movement Featuring Ryan Tedder,2011
Pretty Girl Rock,Keri Hilson,2011
My Kinda Party,Jason Aldean,2011
Love The Way You Lie,Eminem Featuring Rihanna,2011
